name,start_month,start_day,end_month,end_day,year,peak_classification,wind_speed_mph,wind_speed_kmh,pressure_hPa,pressure_inHg,areas_affected,eastern_seaboard,gulf_coast,caribbean,central_america,deaths,damage,start_date,end_date,adj_factor,damage_inflation_adjusted,name_date,previous_storms,landfall
Ingrid,September,12,September,17,2013,1,85,140,983,29.03,Mexico,0,0,0,TS,32,1500000000,2013-09-12,2013-09-17,1.09,1635000000,Ingrid_2013-09-12,2007,yes
Erika,August,24,August,28,2015,0,50,85,1001,29.56,"Lesser Antilles, Hispaniola",0,0,TS,0,35,511000000,2015-08-24,2015-08-28,1.08,551880000,Erika_2015-08-24,1991;1997;2003;2009,no;no;yes;yes
Joaquin,September,28,October,8,2015,4,155,250,931,27.49,"Bahamas, Bermuda",0,0,4,0,34,200000000,2015-09-28,2015-10-08,1.08,216000000,Joaquin_2015-09-28,,
Matthew,September,28,October,9,2016,5,165,270,934,27.58,"Caribbean, Southeastern United States",3,0,4,0,603,15100000000,2016-09-28,2016-10-09,1.06,16006000000,Matthew_2016-09-28,2004;2010,yes;yes
Otto,November,20,November,26,2016,3,115,185,975,28.79,"Panama, Costa Rica, Nicaragua",0,0,0,3,23,192000000,2016-11-20,2016-11-26,1.06,203520000,Otto_2016-11-20,2004;2010,no;no
Harvey,August,17,September,1,2017,4,130,215,937,27.67,"Texas, Louisiana",0,4,TS,TD,107,125000000000,2017-08-17,2017-09-01,1.04,130000000000,Harvey_2017-08-17,1981;1993;1999;2005;2011,no;no;yes;no;yes
Irma,August,30,September,12,2017,5,180,290,914,26.99,"Caribbean, Southeastern United States",0,TS,5,0,134,77200000000,2017-08-30,2017-09-12,1.04,80288000000,Irma_2017-08-30,1978,no
Maria,September,16,September,30,2017,5,175,280,908,26.81,"Lesser Antilles, Puerto Rico",0,0,5,0,3057,91600000000,2017-09-16,2017-09-30,1.04,95264000000,Maria_2017-09-16,2005;2011,no;yes
Nate,October,4,October,9,2017,1,90,150,981,28.97,"Central America, United States Gulf Coast",0,1,0,TS,48,787000000,2017-10-04,2017-10-09,1.04,818480000,Nate_2017-10-04,2005;2011,no;yes
Florence,August,31,September,17,2018,4,150,240,937,27.67,Eastern United States,2,0,0,0,57,24000000000,2018-08-31,2018-09-17,1.02,24480000000,Florence_2018-08-31,1953;1954;1960;1964;1988;1994;2000;2006;2012,yes;yes;yes;yes;yes;no;no;yes;no
Michael,October,7,October,11,2018,5,160,260,919,27.14,"Central America, United States Gulf Coast",0,5,1,TS,74,25100000000,2018-10-07,2018-10-11,1.02,25602000000,Michael_2018-10-07,2000;2012,yes;no
